u,v,key,score_weighted_by_main,score_weighted_by_sub,SU_foot,SU_highway,SU_ALLEY,SU_width,SU_lit,SU_maxspeed,SU_segregated,SU_sidewalk,SU_PARKING_SUBTAGS,SU_TAG_crossing,SU_EDSA_accident_component,SU_motor_vehicle,SU_FROM_IMAGES_sidewalk_ratio,SU_FROM_IMAGES_greenery_ratio,SU_FROM_IMAGES_road_condition,SU_FROM_IMAGES_has_traffic_light,SU_FROM_IMAGES_has_crosswalk,SU_FROM_IMAGES_obstruction_density,MU_convenience,MU_traffic_volume,MU_traffic_speed,MU_attractiveness,MU_accident_risk,MU_safety_of_sidewalks,MU_safety_of_crossings,geometry
6533422564,476288515,0,-3.0,-3.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,1.0,"LINESTRING (121.03308868408203 14.576680183410645, 121.03316497802734 14.576760292053223)"
6533422564,6533422565,0,-4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03308868408203 14.576680183410645, 121.03312683105469 14.576642990112305)"
6533422564,6533422566,0,-5.892966089740893,-5.892966089740894,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4336925960637301,-0.1947061740639721,0.0,0.0,-1.0,-0.2645673196131912,-0.2645673196131912,-4.0,0.0,-0.1947061740639721,0.0,-0.4336925960637301,-1.0,"LINESTRING (121.03305053710938 14.576715469360352, 121.03308868408203 14.576680183410645)"
25583898,6369607704,0,-0.2969762450040305,-0.2969762450040304,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.1808089276937754,-0.0738754840631515,0.0,-0.5,-1.0,-0.5422918332471035,-0.5422918332471035,0.0,0.5,-0.0738754840631515,0.0,0.8191910723062246,-1.0,"LINESTRING (121.03389739990234 14.576411247253418, 121.03397369384766 14.576408386230469)"
25583898,7223603444,0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"LINESTRING (121.03380584716797 14.57642650604248, 121.03389739990234 14.576411247253418)"
25583898,237022134,0,-0.8892666160085784,-0.8892666160085784,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.194157376515583,-0.0546301701134089,0.0,0.0,-1.0,-0.6404790693795863,-0.6404790693795863,0.0,0.0,-0.0546301701134089,0.0,0.8058426234844169,-1.0,"LINESTRING (121.03387451171875 14.576066970825195, 121.03389739990234 14.576411247253418)"
6369607704,25583995,0,-0.336334749998088,-0.336334749998088,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.1217557371403524,-0.0521775197013687,0.0,-0.5,-1.0,-0.6624014931563666,-0.6624014931563666,0.0,0.5,-0.0521775197013687,0.0,0.8782442628596474,-1.0,"LINESTRING (121.03397369384766 14.576408386230469, 121.03412628173828 14.576417922973633)"
6369607704,25583898,0,-0.2969762450040305,-0.2969762450040304,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.1808089276937754,-0.0738754840631515,0.0,-0.5,-1.0,-0.5422918332471035,-0.5422918332471035,0.0,0.5,-0.0738754840631515,0.0,0.8191910723062246,-1.0,"LINESTRING (121.03389739990234 14.576411247253418, 121.03397369384766 14.576408386230469)"
7223603444,25583898,0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"LINESTRING (121.03380584716797 14.57642650604248, 121.03389739990234 14.576411247253418)"
7223603444,7197965251,0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"LINESTRING (121.0337142944336 14.576449394226074, 121.03380584716797 14.57642650604248)"
237022134,25583898,0,-0.8892666160085784,-0.8892666160085784,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.194157376515583,-0.0546301701134089,0.0,0.0,-1.0,-0.6404790693795863,-0.6404790693795863,0.0,0.0,-0.0546301701134089,0.0,0.8058426234844169,-1.0,"LINESTRING (121.03387451171875 14.576066970825195, 121.03389739990234 14.576411247253418)"
237022134,11988960198,0,-1.405578130588512,-1.4055781305885122,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.3690966335674497,-0.0167617689015692,0.0,0.0,-1.0,-0.5197197281194932,-0.5197197281194932,-0.5,0.0,-0.0167617689015692,0.0,0.6309033664325503,-1.0,"LINESTRING (121.03387451171875 14.576066970825195, 121.03379821777344 14.576050758361816)"
237022134,11988960197,0,0.5,0.5,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,1.0,0.0,"LINESTRING (121.03401947021484 14.57607364654541, 121.03387451171875 14.576066970825195)"
237022134,7192324896,0,-0.7298096860059999,-0.7298096860059998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.1716692019441249,-0.0081017101342801,0.0,0.0,-1.0,-0.5500387739275947,-0.5500387739275947,0.0,0.0,-0.0081017101342801,0.0,0.828330798055875,-1.0,"LINESTRING (121.03388977050781 14.57592487335205, 121.03387451171875 14.576066970825195)"
25583995,7197965249,0,0.0518294167550785,0.0518294167550785,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.2687233032747982,-0.02371467695755,0.0,0.0,-1.0,-0.6557326030125732,-0.6557326030125732,0.0,1.0,-0.02371467695755,0.0,0.7312766967252018,-1.0,"LINESTRING (121.03412628173828 14.576417922973633, 121.03423309326172 14.576446533203125)"
25583995,6369607704,0,-0.336334749998088,-0.336334749998088,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.1217557371403524,-0.0521775197013687,0.0,-0.5,-1.0,-0.6624014931563666,-0.6624014931563666,0.0,0.5,-0.0521775197013687,0.0,0.8782442628596474,-1.0,"LINESTRING (121.03397369384766 14.576408386230469, 121.03412628173828 14.576417922973633)"
7197965249,394432938,0,0.1600918275416387,0.1600918275416386,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.1238734419942473,-0.0645262040102442,0.0,0.0,-1.0,-0.6515085264538697,-0.6515085264538697,0.0,1.0,-0.0645262040102442,0.0,0.8761265580057527,-1.0,"LINESTRING (121.03423309326172 14.576446533203125, 121.03430938720703 14.5764741897583)"
7197965249,25583995,0,0.0518294167550785,0.0518294167550785,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.2687233032747982,-0.02371467695755,0.0,0.0,-1.0,-0.6557326030125732,-0.6557326030125732,0.0,1.0,-0.02371467695755,0.0,0.7312766967252018,-1.0,"LINESTRING (121.03412628173828 14.576417922973633, 121.03423309326172 14.576446533203125)"
7197965249,8377485218,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.0342025756836 14.57650375366211, 121.03423309326172 14.576446533203125)"
394432938,7185202535,0,-0.3268501881822299,-0.3268501881822299,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.1232199941877361,-0.0427043984890196,0.0,-0.5,-1.0,-0.6609257955054741,-0.6609257955054741,0.0,0.5,-0.0427043984890196,0.0,0.8767800058122639,-1.0,"LINESTRING (121.03430938720703 14.5764741897583, 121.034423828125 14.576522827148438)"
394432938,7197965249,0,0.1600918275416387,0.1600918275416386,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.1238734419942473,-0.0645262040102442,0.0,0.0,-1.0,-0.6515085264538697,-0.6515085264538697,0.0,1.0,-0.0645262040102442,0.0,0.8761265580057527,-1.0,"LINESTRING (121.03423309326172 14.576446533203125, 121.03430938720703 14.5764741897583)"
8377485218,7197965249,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.0342025756836 14.57650375366211, 121.03423309326172 14.576446533203125)"
8377485218,7197965248,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.0341567993164 14.576581001281738, 121.0342025756836 14.57650375366211)"
237016153,6534506793,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03632354736328 14.575772285461426, 121.03652954101562 14.575821876525879)"
237016153,476288492,0,-0.5,-0.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03632354736328 14.575772285461426, 121.03630828857422 14.575850486755371)"
237016153,5864943737,0,0.5,0.5,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,1.0,0.0,"LINESTRING (121.03632354736328 14.575772285461426, 121.0363540649414 14.575672149658203)"
237016153,6534482780,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.0362777709961 14.575759887695312, 121.03632354736328 14.575772285461426)"
6534506793,9537628762,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03652954101562 14.575821876525879, 121.03787994384766 14.576139450073242)"
6534506793,237016153,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03632354736328 14.575772285461426, 121.03652954101562 14.575821876525879)"
6534506793,6534506794,0,-4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.0364990234375 14.575895309448242, 121.03652954101562 14.575821876525879)"
476288492,476288522,0,0.5,0.5,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,1.0,0.0,"LINESTRING (121.03630828857422 14.575850486755371, 121.0363540649414 14.57598876953125)"
476288492,6534482779,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03630828857422 14.575850486755371, 121.0362548828125 14.575837135314941)"
476288492,6534506794,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.0364990234375 14.575895309448242, 121.03630828857422 14.575850486755371)"
476288492,237016153,0,-0.5,-0.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03632354736328 14.575772285461426, 121.03630828857422 14.575850486755371)"
5864943737,2064210100,0,0.5,0.5,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,1.0,0.0,"LINESTRING (121.0363540649414 14.575672149658203, 121.03643035888672 14.575480461120605)"
5864943737,237016153,0,0.5,0.5,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,1.0,0.0,"LINESTRING (121.03632354736328 14.575772285461426, 121.0363540649414 14.575672149658203)"
6534482780,6534482779,0,-4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.0362777709961 14.575759887695312, 121.0362548828125 14.575837135314941)"
6534482780,237016153,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.0362777709961 14.575759887695312, 121.03632354736328 14.575772285461426)"
6534482780,5864943738,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03623962402344 14.575750350952148, 121.0362777709961 14.575759887695312)"
9537628762,6534579883,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03787994384766 14.576139450073242, 121.0379638671875 14.57616138458252)"
9537628762,6534506793,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03652954101562 14.575821876525879, 121.03787994384766 14.576139450073242)"
6534506794,476288492,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.0364990234375 14.575895309448242, 121.03630828857422 14.575850486755371)"
6534506794,6534506793,0,-4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.0364990234375 14.575895309448242, 121.03652954101562 14.575821876525879)"
6534506794,6534583885,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03793334960938 14.576239585876465, 121.0364990234375 14.575895309448242)"
6534579883,1532768062,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.0379638671875 14.57616138458252, 121.03858947753906 14.576316833496094)"
6534579883,9537628762,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03787994384766 14.576139450073242, 121.0379638671875 14.57616138458252)"
6534579883,6534579884,0,-4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03794860839844 14.576207160949707, 121.0379638671875 14.57616138458252)"
1532768062,6534583886,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03858947753906 14.576316833496094, 121.03866577148438 14.576336860656738)"
1532768062,6534579883,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.0379638671875 14.57616138458252, 121.03858947753906 14.576316833496094)"
