u,v,key,score_weighted_by_main,score_weighted_by_sub,SU_foot,SU_highway,SU_ALLEY,SU_width,SU_lit,SU_maxspeed,SU_segregated,SU_sidewalk,SU_PARKING_SUBTAGS,SU_TAG_crossing,SU_EDSA_accident_component,SU_motor_vehicle,SU_FROM_IMAGES_sidewalk_ratio,SU_FROM_IMAGES_greenery_ratio,SU_FROM_IMAGES_road_condition,SU_FROM_IMAGES_has_traffic_light,SU_FROM_IMAGES_has_crosswalk,SU_FROM_IMAGES_obstruction_density,MU_convenience,MU_traffic_volume,MU_traffic_speed,MU_attractiveness,MU_accident_risk,MU_safety_of_sidewalks,MU_safety_of_crossings
6839388921,7198248641,0,-1.0,-1.0,-2.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0
25583898,6369607704,0,-0.2969762450040305,-0.2969762450040304,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.18080892769377543,-0.07387548406315159,0.0,-0.5,-1.0,-0.5422918332471035,-0.5422918332471035,0.0,0.5,-0.07387548406315159,0.0,0.8191910723062246,-1.0
25583898,7223603444,0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
25583898,237022134,0,-0.8892666160085784,-0.8892666160085784,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.19415737651558307,-0.05463017011340898,0.0,0.0,-1.0,-0.6404790693795863,-0.6404790693795863,0.0,0.0,-0.05463017011340898,0.0,0.8058426234844169,-1.0
6369607704,25583995,0,-0.336334749998088,-0.336334749998088,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.12175573714035248,-0.052177519701368746,0.0,-0.5,-1.0,-0.6624014931563666,-0.6624014931563666,0.0,0.5,-0.052177519701368746,0.0,0.8782442628596474,-1.0
6369607704,25583898,0,-0.2969762450040305,-0.2969762450040304,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.18080892769377543,-0.07387548406315159,0.0,-0.5,-1.0,-0.5422918332471035,-0.5422918332471035,0.0,0.5,-0.07387548406315159,0.0,0.8191910723062246,-1.0
7223603444,25583898,0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7223603444,7197965251,0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
237022134,25583898,0,-0.8892666160085784,-0.8892666160085784,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.19415737651558307,-0.05463017011340898,0.0,0.0,-1.0,-0.6404790693795863,-0.6404790693795863,0.0,0.0,-0.05463017011340898,0.0,0.8058426234844169,-1.0
237022134,11988960198,0,-1.405578130588512,-1.4055781305885122,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.3690966335674497,-0.01676176890156922,0.0,0.0,-1.0,-0.5197197281194932,-0.5197197281194932,-0.5,0.0,-0.01676176890156922,0.0,0.6309033664325503,-1.0
237022134,11988960197,0,0.5,0.5,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,1.0,0.0
237022134,7192324896,0,-0.7298096860059999,-0.7298096860059998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.17166920194412494,-0.008101710134280182,0.0,0.0,-1.0,-0.5500387739275947,-0.5500387739275947,0.0,0.0,-0.008101710134280182,0.0,0.828330798055875,-1.0
25583995,7197965249,0,0.05182941675507857,0.05182941675507857,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.2687233032747982,-0.02371467695755003,0.0,0.0,-1.0,-0.6557326030125732,-0.6557326030125732,0.0,1.0,-0.02371467695755003,0.0,0.7312766967252018,-1.0
25583995,6369607704,0,-0.336334749998088,-0.336334749998088,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.12175573714035248,-0.052177519701368746,0.0,-0.5,-1.0,-0.6624014931563666,-0.6624014931563666,0.0,0.5,-0.052177519701368746,0.0,0.8782442628596474,-1.0
7197965249,394432938,0,0.16009182754163875,0.16009182754163864,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.12387344199424732,-0.06452620401024423,0.0,0.0,-1.0,-0.6515085264538697,-0.6515085264538697,0.0,1.0,-0.06452620401024423,0.0,0.8761265580057527,-1.0
7197965249,25583995,0,0.05182941675507857,0.05182941675507857,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.2687233032747982,-0.02371467695755003,0.0,0.0,-1.0,-0.6557326030125732,-0.6557326030125732,0.0,1.0,-0.02371467695755003,0.0,0.7312766967252018,-1.0
