has_crosswalk,has_traffic_sign,has_traffic_light,has_bicycle,obstruction_density,sidewalk_ratio,cycling_lane_coverage,greenery_ratio,road_condition,has_lit,scene_label,highway,surface,Cluster,u,v,key
1.0,1.0,1.0,1.0,0.5775975349999756,-0.20269288227560459,-0.7040053836335982,0.6407287728064792,1.0,1.0,street,footway,concrete,0,10909607974,10909607976,0
0.0,1.0,1.0,0.0,0.5017497885580675,-0.566278060515314,0.19362207387661348,0.6852676647644548,1.0,1.0,street,footway,,6,10909607975,10909607972,0
1.0,1.0,1.0,1.0,0.5775975349999756,-0.20269288227560459,-0.7040053836335982,0.6407287728064792,1.0,1.0,street,footway,concrete,0,10909607976,10909607974,0
1.0,1.0,1.0,1.0,0.5739146592171087,0.7309668011769546,0.19362207387661348,0.681654847733604,1.0,1.0,street,footway,concrete,0,10909607980,10909607973,0
0.0,1.0,1.0,1.0,0.5806947876767717,-0.21011750725250702,-0.014280666100086638,0.6341067550540257,1.0,0.0,street,secondary,asphalt,3,10940906114,11687243998,0
1.0,1.0,1.0,0.0,0.6076325304227486,-1.281744799525717,0.10376560697764838,0.6349259761502831,1.0,0.0,alley,residential,,4,10940906116,746912274,0
0.0,1.0,1.0,0.0,0.5876534292747153,0.07108077456280351,0.0993994035326069,0.6759292449038623,1.0,0.0,alley,residential,asphalt,3,10940906138,9768730552,0
1.0,1.0,0.0,0.0,0.5813773055538359,1.0176976899995713,0.03102274035080213,0.49371823047381014,1.0,0.0,residential_neighborhood,tertiary,asphalt,3,10973702420,11664682737,0
1.0,1.0,1.0,0.0,0.6232333442241059,-2.0430722302069606,0.19362207387661348,0.6580344787634471,1.0,0.0,alley,residential,concrete,4,11052291157,5521803231,0
1.0,1.0,1.0,0.0,0.6281227250984549,-1.3848288599366878,0.1856204952858752,0.6491235359373438,1.0,0.0,alley,residential,concrete,4,11052291157,9320329211,0
1.0,1.0,1.0,0.0,0.6159812083166845,-0.9404800703821866,-0.8198461607991628,0.6108869893446731,1.0,0.0,alley,residential,concrete,4,11079627106,9320329211,0
1.0,1.0,1.0,1.0,0.6355300798074658,-0.8517393166503414,0.19362207387661348,0.36200076673119785,1.0,0.0,alley,residential,concrete,4,11173244239,394406245,0
1.0,1.0,1.0,1.0,0.6355300798074658,-0.8517393166503414,0.19362207387661348,0.36200076673119785,1.0,0.0,alley,residential,concrete,4,11173244239,6544633979,0
1.0,1.0,1.0,1.0,0.6389250814105674,-0.3673056411699608,0.19362207387661348,0.6901693261353246,1.0,1.0,street,residential,asphalt,3,1123090447,6527779409,0
1.0,1.0,1.0,0.0,0.6030993953504917,-1.4610757618126269,0.19362207387661348,0.5598632514358195,1.0,0.0,alley,residential,asphalt,4,1123090448,11994926887,0
1.0,1.0,1.0,1.0,0.6128605236963302,1.0209003119247024,0.19135666129228815,0.5214609024522939,1.0,0.0,alley,residential,asphalt,3,1123090448,7201093997,0
1.0,1.0,1.0,0.0,0.6581698931004477,-1.8332218274385765,-0.25559087338508224,0.6418934282748535,1.0,1.0,street,residential,asphalt,4,1123090449,4798984169,0
1.0,1.0,1.0,1.0,0.6024864540224082,0.1139259140032758,0.19362207387661348,0.3694845357439415,1.0,1.0,forest_road,residential,asphalt,3,1123090457,6527779415,0
1.0,1.0,1.0,0.0,0.5991290484468937,-0.30683986667306234,0.19362207387661348,0.43421244838483525,1.0,1.0,alley,residential,asphalt,4,1123090457,7251659346,0
0.0,1.0,0.0,1.0,0.4229474205685057,1.1382754261992203,0.1829132965914976,0.5232064501707625,1.0,0.0,crosswalk,secondary,asphalt,3,11397265874,11397265875,0
1.0,1.0,1.0,1.0,0.5764879803153649,0.14924452132031205,0.08702974558794356,0.6581252629827834,1.0,0.0,street,secondary,asphalt,3,11397265874,11397271908,0
0.0,1.0,0.0,1.0,0.4229474205685057,1.1382754261992203,0.1829132965914976,0.5232064501707625,1.0,0.0,crosswalk,secondary,asphalt,3,11397265875,11397265874,0
1.0,1.0,1.0,1.0,0.5764879803153649,0.14924452132031205,0.08702974558794356,0.6581252629827834,1.0,0.0,street,secondary,asphalt,3,11397271908,11397265874,0
1.0,1.0,1.0,1.0,0.5756154169697122,0.8668042227765983,0.19362207387661348,0.607294555558683,1.0,0.0,street,secondary,asphalt,3,11397271908,242433879,0
1.0,1.0,1.0,1.0,0.590421170192393,0.7422234679649999,-0.9991145876421739,0.6055848238807802,1.0,1.0,residential_neighborhood,residential,concrete,0,11525077042,11991009866,0
1.0,1.0,1.0,1.0,0.6227689721080442,-0.7849308130400816,-6.272898665402882,0.5613004692641694,1.0,1.0,alley,footway,,1,11525077043,11525077044,0
1.0,1.0,1.0,0.0,0.6216072717348262,-0.4842012669647234,0.19362207387661348,0.5213950319699764,1.0,1.0,highway,residential,concrete,4,11525077043,7251659334,0
1.0,1.0,1.0,1.0,0.6227689721080442,-0.7849308130400816,-6.272898665402882,0.5613004692641694,1.0,1.0,alley,footway,,1,11525077044,11525077043,0
0.0,1.0,1.0,1.0,0.6448335221071211,0.6784907686456482,0.19362207387661348,0.6727264650003438,1.0,1.0,street,footway,,6,11535809111,11535809112,0
0.0,1.0,1.0,1.0,0.6448335221071211,0.6784907686456482,0.19362207387661348,0.6727264650003438,1.0,1.0,street,footway,,6,11535809112,11535809111,0
0.0,1.0,1.0,1.0,0.6570861140968183,0.5491625154129387,0.14459293214008584,0.6719785413290654,1.0,1.0,street,footway,,6,11535809112,8186551796,0
0.0,1.0,0.0,1.0,0.6534483279088504,-0.08624941888788126,0.19362207387661348,0.6785435793632881,1.0,1.0,highway,service,,6,11535809123,6292473794,0
0.0,1.0,1.0,1.0,0.6530996794306699,0.776409020195912,0.16738962588311093,0.6757445634957797,1.0,1.0,highway,service,,6,11535809124,6292473793,0
0.0,1.0,1.0,1.0,0.5835055905907519,-0.38560605607070625,0.19362207387661348,0.6616582948106198,1.0,1.0,bridge,footway,,6,11652962914,5286733424,0
1.0,1.0,1.0,0.0,0.6341393491926719,-1.5861072828380787,0.12185662029853575,0.5738459824811861,1.0,0.0,alley,residential,concrete,4,11659086135,5819914021,0
1.0,1.0,1.0,0.0,0.6368401017040555,-1.5335040530877198,-0.31291900189276556,0.6156010608291554,1.0,0.0,alley,residential,concrete,4,11659086135,8317645476,0
0.0,1.0,1.0,1.0,0.5982300921790051,-0.14561338697871368,0.15312285592173389,0.66451281881148,1.0,1.0,alley,residential,concrete,0,11659196617,3658402436,0
1.0,1.0,1.0,1.0,0.5780617081770835,0.9961599834647664,-1.2439915652262588,0.4476388658898024,1.0,0.0,residential_neighborhood,residential,asphalt,3,11659196634,6317818904,0
1.0,1.0,1.0,1.0,0.5914225868748203,0.8967553491285194,-0.2759901813796049,0.35413627085995913,1.0,0.0,residential_neighborhood,secondary,asphalt,3,11661751041,2780761234,0
0.0,1.0,1.0,1.0,0.5791297899915604,0.5317343678257351,0.17683330716077222,0.38119962336610796,1.0,0.0,residential_neighborhood,secondary,asphalt,3,11661751041,746028561,0
0.0,1.0,1.0,0.0,0.5794294607350575,0.5633022811307815,0.09269542443321169,0.580671198468567,1.0,0.0,residential_neighborhood,secondary,asphalt,3,11661751044,2780761231,0
0.0,1.0,0.0,0.0,0.5132375576550319,0.6927364545537487,-0.22263842903917652,0.6785843601859078,1.0,0.0,crosswalk,primary,asphalt,3,11661863400,6773494901,0
