has_crosswalk,has_traffic_sign,has_traffic_light,has_bicycle,obstruction_density,sidewalk_ratio,cycling_lane_coverage,greenery_ratio,road_condition,scene_label,Cluster,u,v,key
0.0,1.0,1.0,1.0,0.5806947876767717,-0.21554133115985422,-0.015058797970417315,0.6341067550540257,1.0,street,5,10940906114,11687243998,0
1.0,1.0,1.0,0.0,0.6076325304227486,-1.289444213546493,0.10298747510731769,0.6349259761502831,1.0,alley,0,10940906116,746912274,0
0.0,1.0,1.0,0.0,0.5876534292747153,0.06625407246695364,0.09862127166227623,0.6759292449038623,1.0,alley,6,10940906138,9768730552,0
1.0,1.0,0.0,0.0,0.5813773055538359,1.0148811197000132,0.030244608480471454,0.49371823047381014,1.0,residential_neighborhood,5,10973702420,11664682737,0
1.0,1.0,1.0,0.0,0.6232333442241059,-2.0523883156085723,0.1928439420062828,0.6580344787634471,1.0,alley,0,11052291157,5521803231,0
1.0,1.0,1.0,0.0,0.6281227250984549,-1.392747171955317,0.18484236341554452,0.6491235359373438,1.0,alley,0,11052291157,9320329211,0
1.0,1.0,1.0,0.0,0.6159812083166845,-0.9474548120758388,-0.8206242926694934,0.6108869893446731,1.0,alley,0,11079627106,9320329211,0
1.0,1.0,1.0,1.0,0.6355300798074658,-0.8585256182181156,0.1928439420062828,0.36200076673119785,1.0,alley,0,11173244239,394406245,0
1.0,1.0,1.0,1.0,0.6355300798074658,-0.8585256182181156,0.1928439420062828,0.36200076673119785,1.0,alley,0,11173244239,6544633979,0
1.0,1.0,1.0,1.0,0.6389250814105674,-0.3730632525480732,0.1928439420062828,0.6901693261353246,1.0,street,6,1123090447,6527779409,0
1.0,1.0,1.0,0.0,0.6030993953504917,-1.4691559833844556,0.1928439420062828,0.5598632514358195,1.0,alley,0,1123090448,11994926887,0
1.0,1.0,1.0,1.0,0.6128605236963302,1.0180905423615967,0.1905785294219575,0.5214609024522939,1.0,alley,6,1123090448,7201093997,0
1.0,1.0,1.0,0.0,0.6581698931004477,-1.842092297554648,-0.25636900525541295,0.6418934282748535,1.0,street,0,1123090449,4798984169,0
1.0,1.0,1.0,1.0,0.6024864540224082,0.10919019314355365,0.1928439420062828,0.3694845357439415,1.0,forest_road,6,1123090457,6527779415,0
1.0,1.0,1.0,0.0,0.5991290484468937,-0.31246907956819653,0.1928439420062828,0.43421244838483525,1.0,alley,6,1123090457,7251659346,0
0.0,1.0,0.0,1.0,0.4229474205685057,1.1357149015475978,0.18213516472116695,0.5232064501707625,1.0,crosswalk,5,11397265874,11397265875,0
1.0,1.0,1.0,1.0,0.5764879803153649,0.14458379917909045,0.08625161371761288,0.6581252629827834,1.0,street,5,11397265874,11397271908,0
0.0,1.0,0.0,1.0,0.4229474205685057,1.1357149015475978,0.18213516472116695,0.5232064501707625,1.0,crosswalk,5,11397265875,11397265874,0
1.0,1.0,1.0,1.0,0.5764879803153649,0.14458379917909045,0.08625161371761288,0.6581252629827834,1.0,street,5,11397271908,11397265874,0
1.0,1.0,1.0,1.0,0.5756154169697122,0.8636672316696667,0.1928439420062828,0.607294555558683,1.0,street,5,11397271908,242433879,0
1.0,1.0,1.0,0.0,0.4375739314835871,1.3028997763787036,0.1928439420062828,0.570673254612695,1.0,residential_neighborhood,5,1141753368,6533491201,0
1.0,1.0,1.0,1.0,0.590421170192393,0.7388219308391148,-0.9998927195125046,0.6055848238807802,1.0,residential_neighborhood,6,11525077042,11991009866,0
