has_crosswalk,has_traffic_sign,has_traffic_light,has_bicycle,obstruction_density,sidewalk_ratio,cycling_lane_coverage,greenery_ratio,road_condition,scene_label,highway,surface,Cluster,u,v,key
1.0,1.0,0.0,1.0,0.5875034775925435,-0.3757642639744406,-0.9978547671196204,0.39616097280133555,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6073400587503078,0.6949992393607383,0.01926978738051119,0.39733197639988693,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.603562805223337,0.9284717614238681,-0.0011168558870721056,0.3681727570454937,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6188168763310675,0.752264069242547,0.07872974883949674,0.40495256619664366,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6097147435921682,0.7320633211258792,0.008050276520679316,0.40145782800074464,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6040321314136481,0.9322941272625196,0.07872974883949674,0.37906031870238865,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6008014765646454,0.7149599130340496,0.07872974883949674,0.39123854021932003,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6057898272160221,0.9652608814629451,0.07872974883949674,0.37993850765181575,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6047768655604364,0.6298156956338969,-0.14875644434012752,0.3882573724621129,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6043159668533294,0.9783146154809014,0.07872974883949674,0.37717503034758987,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.605823314030592,0.9495239789291559,0.07872974883949674,0.37691189640450623,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6059908913812748,0.9722223841538821,0.07872974883949674,0.37462831122383744,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6047326227975237,0.7098845824605051,0.002174581888848826,0.39558251071000367,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6388272771186619,-0.170474899683808,0.07872974883949674,0.48667796846315664,1.0,residential_neighborhood,residential,concrete,6,242433564,5407514716,0
1.0,1.0,1.0,1.0,0.6388272771186619,-0.170474899683808,0.07872974883949674,0.48667796846315664,1.0,residential_neighborhood,residential,concrete,6,5407514716,242433564,0
0.0,1.0,1.0,1.0,0.5877046254000527,-0.8241591985501641,-3.488480047536963,0.6154832529442766,1.0,alley,residential,,2,7188588309,476288578,0
1.0,1.0,1.0,1.0,0.6467996828242123,-1.578387732435939,0.07872974883949674,0.5646562270432735,1.0,residential_neighborhood,residential,,3,7188588309,476288578,0
0.0,1.0,1.0,1.0,0.5811336473771599,-0.006878842031490834,-1.2005823185265205,0.6232262347604399,1.0,residential_neighborhood,residential,,8,7188588309,476288578,0
0.0,1.0,1.0,1.0,0.5877046254000527,-0.8241591985501641,-3.488480047536963,0.6154832529442766,1.0,alley,residential,,2,476288578,7188588309,0
1.0,1.0,1.0,1.0,0.6467996828242123,-1.578387732435939,0.07872974883949674,0.5646562270432735,1.0,residential_neighborhood,residential,,3,476288578,7188588309,0
0.0,1.0,1.0,1.0,0.5811336473771599,-0.006878842031490834,-1.2005823185265205,0.6232262347604399,1.0,residential_neighborhood,residential,,8,476288578,7188588309,0
0.0,1.0,1.0,1.0,0.45579588243185004,1.1496542933874698,-19.081516940069594,0.6688128484374564,1.0,street,residential,asphalt,5,242433597,11988603740,0
1.0,1.0,1.0,1.0,0.58966521911165,0.004516011567527152,-0.2636407760127794,0.5108514598874736,1.0,street,residential,asphalt,0,242433597,11988603740,0
0.0,1.0,0.0,1.0,0.4312621907341439,1.4103271374173076,-2.294830485431252,0.6714218869231675,1.0,street,residential,asphalt,2,242433597,11988603740,0
0.0,1.0,1.0,0.0,0.5472152747369676,0.6168892820247266,0.01678568232400111,0.6828135393312116,1.0,street,residential,asphalt,0,242433597,11988603740,0
0.0,1.0,1.0,1.0,0.45579588243185004,1.1496542933874698,-19.081516940069594,0.6688128484374564,1.0,street,residential,asphalt,5,11988603740,242433597,0
1.0,1.0,1.0,1.0,0.58966521911165,0.004516011567527152,-0.2636407760127794,0.5108514598874736,1.0,street,residential,asphalt,0,11988603740,242433597,0
0.0,1.0,0.0,1.0,0.4312621907341439,1.4103271374173076,-2.294830485431252,0.6714218869231675,1.0,street,residential,asphalt,2,11988603740,242433597,0
0.0,1.0,1.0,0.0,0.5472152747369676,0.6168892820247266,0.01678568232400111,0.6828135393312116,1.0,street,residential,asphalt,0,11988603740,242433597,0
1.0,1.0,1.0,1.0,0.5196301559305466,1.2996404222294229,0.07872974883949674,0.5120991897293822,1.0,residential_neighborhood,secondary,asphalt,0,11676245112,12144820698,0
1.0,1.0,1.0,1.0,0.5614688964114766,-0.15298108358610948,0.004175335908193215,0.5574924656943481,1.0,residential_neighborhood,secondary,asphalt,0,11676245112,12144820698,0
0.0,1.0,1.0,1.0,0.5041292522992731,1.3753035888594205,-6.696402526292771,0.6309609409574494,1.0,residential_neighborhood,secondary,asphalt,4,11676245112,12144820698,0
0.0,1.0,0.0,1.0,0.45340177268189785,1.1876030371111954,-17.33001820475149,0.6493969940433132,1.0,crosswalk,secondary,asphalt,5,11676245112,12144820698,0
0.0,1.0,1.0,1.0,0.5074206433092613,1.402860946733721,-0.007303676876469035,0.6456829868232729,1.0,residential_neighborhood,secondary,asphalt,0,11676245112,12144820698,0
1.0,1.0,1.0,1.0,0.5026303786515196,1.1275942671744947,-8.249323311465078,0.6371448424974174,1.0,residential_neighborhood,secondary,asphalt,4,11676245112,12144820698,0
