u,v,key,geometry,SU_foot,SU_highway,SU_ALLEY,SU_lit,SU_maxspeed,SU_sidewalk,SU_PARKING_SUBTAGS,SU_TAG_crossing,SU_EDSA_accident_component,SU_motor_vehicle,SU_FROM_IMAGES_road_condition,SU_FROM_IMAGES_has_traffic_light,SU_FROM_IMAGES_has_crosswalk,MU_traffic_volume,MU_traffic_speed,MU_accident_risk,MU_safety_of_crossings,SU_FROM_IMAGES_sidewalk_ratio_binned,SU_FROM_IMAGES_greenery_ratio_binned,SU_FROM_IMAGES_obstruction_density_binned,MU_convenience_binned,MU_attractiveness_binned,MU_safety_of_sidewalks_binned,cluster
6369607704,25583898,0,"LINESTRING (121.03389739990234 14.576411247253418, 121.03397369384766 14.576408386230469)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.5,0.0,-1.0,1,2,0,1,2,4,1
7223603444,25583898,0,"LINESTRING (121.03380584716797 14.57642650604248, 121.03389739990234 14.576411247253418)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,5,13
7223603444,7197965251,0,"LINESTRING (121.0337142944336 14.576449394226074, 121.03380584716797 14.57642650604248)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,5,13
237022134,25583898,0,"LINESTRING (121.03387451171875 14.576066970825195, 121.03389739990234 14.576411247253418)",0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1,2,0,1,2,4,1
237022134,11988960198,0,"LINESTRING (121.03387451171875 14.576066970825195, 121.03379821777344 14.576050758361816)",0.0,-0.5,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5,0.0,0.0,-1.0,1,2,0,1,2,4,1
237022134,11988960197,0,"LINESTRING (121.03401947021484 14.57607364654541, 121.03387451171875 14.576066970825195)",0.0,-0.5,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,2,2,4,2,3,5,2
237022134,7192324896,0,"LINESTRING (121.03388977050781 14.57592487335205, 121.03387451171875 14.576066970825195)",0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1,2,0,1,2,4,1
25583995,7197965249,0,"LINESTRING (121.03412628173828 14.576417922973633, 121.03423309326172 14.576446533203125)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1,2,0,1,2,4,3
25583995,6369607704,0,"LINESTRING (121.03397369384766 14.576408386230469, 121.03412628173828 14.576417922973633)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.5,0.0,-1.0,1,2,0,1,2,4,1
7197965249,394432938,0,"LINESTRING (121.03423309326172 14.576446533203125, 121.03430938720703 14.5764741897583)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1,2,0,1,2,4,3
7197965249,25583995,0,"LINESTRING (121.03412628173828 14.576417922973633, 121.03423309326172 14.576446533203125)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1,2,0,1,2,4,3
7197965249,8377485218,0,"LINESTRING (121.0342025756836 14.57650375366211, 121.03423309326172 14.576446533203125)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4,2,3,3,0
394432938,7185202535,0,"LINESTRING (121.03430938720703 14.5764741897583, 121.034423828125 14.576522827148438)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.5,0.0,-1.0,1,2,0,1,2,4,1
394432938,7197965249,0,"LINESTRING (121.03423309326172 14.576446533203125, 121.03430938720703 14.5764741897583)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1,2,0,1,2,4,3
8377485218,7197965249,0,"LINESTRING (121.0342025756836 14.57650375366211, 121.03423309326172 14.576446533203125)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4,2,3,3,0
8377485218,7197965248,0,"LINESTRING (121.0341567993164 14.576581001281738, 121.0342025756836 14.57650375366211)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4,2,3,3,0
237016153,6534506793,0,"LINESTRING (121.03632354736328 14.575772285461426, 121.03652954101562 14.575821876525879)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
237016153,476288492,0,"LINESTRING (121.03632354736328 14.575772285461426, 121.03630828857422 14.575850486755371)",0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,2,2,4,2,3,3,0
237016153,5864943737,0,"LINESTRING (121.03632354736328 14.575772285461426, 121.0363540649414 14.575672149658203)",0.0,-0.5,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,2,2,4,2,3,5,2
237016153,6534482780,0,"LINESTRING (121.0362777709961 14.575759887695312, 121.03632354736328 14.575772285461426)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
6534506793,9537628762,0,"LINESTRING (121.03652954101562 14.575821876525879, 121.03787994384766 14.576139450073242)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
6534506793,237016153,0,"LINESTRING (121.03632354736328 14.575772285461426, 121.03652954101562 14.575821876525879)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
6534506793,6534506794,0,"LINESTRING (121.0364990234375 14.575895309448242, 121.03652954101562 14.575821876525879)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,2,2,4,2,3,3,0
476288492,476288522,0,"LINESTRING (121.03630828857422 14.575850486755371, 121.0363540649414 14.57598876953125)",0.0,-0.5,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,2,2,4,2,3,5,2
476288492,6534482779,0,"LINESTRING (121.03630828857422 14.575850486755371, 121.0362548828125 14.575837135314941)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
476288492,6534506794,0,"LINESTRING (121.0364990234375 14.575895309448242, 121.03630828857422 14.575850486755371)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
476288492,237016153,0,"LINESTRING (121.03632354736328 14.575772285461426, 121.03630828857422 14.575850486755371)",0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,2,2,4,2,3,3,0
5864943737,2064210100,0,"LINESTRING (121.0363540649414 14.575672149658203, 121.03643035888672 14.575480461120605)",0.0,-0.5,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,2,2,4,2,3,5,2
5864943737,237016153,0,"LINESTRING (121.03632354736328 14.575772285461426, 121.0363540649414 14.575672149658203)",0.0,-0.5,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,2,2,4,2,3,5,2
6534482780,6534482779,0,"LINESTRING (121.0362777709961 14.575759887695312, 121.0362548828125 14.575837135314941)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,2,2,4,2,3,3,0
6534482780,237016153,0,"LINESTRING (121.0362777709961 14.575759887695312, 121.03632354736328 14.575772285461426)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
6534482780,5864943738,0,"LINESTRING (121.03623962402344 14.575750350952148, 121.0362777709961 14.575759887695312)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
9537628762,6534579883,0,"LINESTRING (121.03787994384766 14.576139450073242, 121.0379638671875 14.57616138458252)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
9537628762,6534506793,0,"LINESTRING (121.03652954101562 14.575821876525879, 121.03787994384766 14.576139450073242)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
6534506794,476288492,0,"LINESTRING (121.0364990234375 14.575895309448242, 121.03630828857422 14.575850486755371)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
6534506794,6534506793,0,"LINESTRING (121.0364990234375 14.575895309448242, 121.03652954101562 14.575821876525879)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,2,2,4,2,3,3,0
6534506794,6534583885,0,"LINESTRING (121.03793334960938 14.576239585876465, 121.0364990234375 14.575895309448242)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
6534579883,1532768062,0,"LINESTRING (121.0379638671875 14.57616138458252, 121.03858947753906 14.576316833496094)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
6534579883,9537628762,0,"LINESTRING (121.03787994384766 14.576139450073242, 121.0379638671875 14.57616138458252)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
