u,v,key,score_weighted_by_main,score_weighted_by_sub,SU_bicycle,SU_CYCLEWAY_CLASS,SU_CYCLEWAY_LANE_TYPE,SU_foot,SU_highway,SU_ALLEY,SU_width,SU_lit,SU_maxspeed,SU_segregated,SU_sidewalk,SU_PARKING_SUBTAGS,SU_TAG_crossing,SU_EDSA_accident_component,SU_motor_vehicle,SU_FROM_IMAGES_cycling_lane_coverage,SU_FROM_IMAGES_greenery_ratio,SU_FROM_IMAGES_has_bicycle,SU_FROM_IMAGES_road_condition,MU_DISMOUNT,MU_convenience,MU_attractiveness,MU_traffic_safety,MU_security,MU_accident_risk,MU_traffic_volume,MU_safety_of_sidewalks_and_crossings
25583898,7223603444,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
25583898,237022134,0,-18.23538790533534,-18.23538790533534,-3.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3323296951449003,-0.05463017011340898,-1.0,0.0,0.0,-9.0,-0.09173745547346036,-5.42666931778641,-3.7169811320754715,0.0,0.0,0.0
6369607704,25583995,0,-14.362235958785677,-14.362235958785677,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010466161551303421,-0.052177519701368746,-1.0,0.0,0.0,-9.0,-0.0876188538381475,-1.5576359728720583,-3.7169811320754715,0.0,0.0,0.0
6369607704,25583898,0,-14.414045794821662,-14.414045794821662,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025839793281653756,-0.07387548406315159,-1.0,0.0,0.0,-9.0,-0.12405505814378284,-1.5730096046024085,-3.7169811320754715,0.0,0.0,0.0
7223603444,25583898,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
7223603444,7197965251,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
237022134,25583898,0,-18.23538790533534,-18.23538790533534,-3.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3323296951449003,-0.05463017011340898,-1.0,0.0,0.0,-9.0,-0.09173745547346036,-5.42666931778641,-3.7169811320754715,0.0,0.0,0.0
237022134,11988960198,0,-4.816365899440281,-4.816365899440282,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36369047619047623,-0.01676176890156922,-1.0,0.0,0.0,0.0,-0.028147121363012458,-0.36369047619047623,-3.7169811320754715,0.0,-0.7075471698113207,0.0
237022134,11988960197,0,-3.4245283018867925,-3.4245283018867925,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7169811320754715,0.0,-0.7075471698113207,0.0
237022134,7192324896,0,-18.757041517540813,-18.75704151754081,-3.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9321160042964554,-0.008101710134280182,-1.0,0.0,0.0,-9.0,-0.013604758527376155,-6.026455626937965,-3.7169811320754715,0.0,0.0,0.0
