relative_distance,relative_discomfort_weighted,relative_discomfort,beta,adm4_pcode,adm4_en
1.5700890609923992,0.9828431372468334,0.4914215686234167,2,PH137401002,Bagong Silang
1.5842642270545597,1.4515903583682392,0.4838634527894121,3,PH137401002,Bagong Silang
1.9793758943516488,0.0,0.715948665601434,0,PH137401010,Hagdang Bato Itaas
1.9802611458080213,0.7157856041665908,0.7157856041665908,1,PH137401010,Hagdang Bato Itaas
1.9804458181405118,1.4315712083331815,0.7157856041665908,2,PH137401010,Hagdang Bato Itaas
1.9804880196480132,2.1473443551537286,0.7157814517179119,3,PH137401010,Hagdang Bato Itaas
1.1225876927210128,0.0,0.6525898396927103,0,PH137401025,San Jose
1.1262930216594027,0.6503929137917738,0.6503929137917738,1,PH137401025,San Jose
1.1266543528427135,1.3009798856765367,0.6504899428382683,2,PH137401025,San Jose
1.1266543528427135,1.951469828514803,0.6504899428382683,3,PH137401025,San Jose
1.80646381300506,0.0,0.5402368595514468,0,PH137401014,Hulo
1.849875972226073,0.5253062907042805,0.5253062907042805,1,PH137401014,Hulo
1.89423800610883,1.0473728125542086,0.5236864062771043,2,PH137401014,Hulo
1.9640795003034177,1.5661367927960865,0.5220455975986986,3,PH137401014,Hulo
1.3665731186177874,0.0,0.7047345105222872,0,PH137401007,Burol
1.3665731186177874,0.7047345105222872,0.7047345105222872,1,PH137401007,Burol
1.3665731186177874,1.4094690210445744,0.7047345105222872,2,PH137401007,Burol
1.3665731186177874,2.114203531566864,0.7047345105222872,3,PH137401007,Burol
1.4490137253352635,0.0,0.7208128053197718,0,PH137401020,Old Zañiga
1.479240388507308,0.7099232209215209,0.7099232209215209,1,PH137401020,Old Zañiga
1.5002713723906933,1.4112560646018493,0.7056280323009246,2,PH137401020,Old Zañiga
1.5027353623998594,2.1154858923156334,0.705161964105211,3,PH137401020,Old Zañiga
1.411645475655098,0.0,0.7748346062160931,0,PH137401015,Mabini-J. Rizal
1.411645475655098,0.7748346062160931,0.7748346062160931,1,PH137401015,Mabini-J. Rizal
1.411645475655098,1.5496692124321862,0.7748346062160931,2,PH137401015,Mabini-J. Rizal
1.411645475655098,2.3245038186482865,0.7748346062160931,3,PH137401015,Mabini-J. Rizal
1.7606602935937254,0.0,0.6548142007749961,0,PH137401024,Poblacion
1.8285896331712643,0.6429455695394377,0.6429455695394377,1,PH137401024,Poblacion
1.8566681084838523,1.2724874140994846,0.6362437070497423,2,PH137401024,Poblacion
1.8676860152716432,1.9054286991776372,0.6351428997258785,3,PH137401024,Poblacion
1.619587792404111,0.0,0.5446805232620582,0,PH137401019,New Zañiga
1.7539722627043584,0.4804063989548097,0.4804063989548097,1,PH137401019,New Zañiga
1.8357189508749452,0.9230498188447464,0.4615249094223732,2,PH137401019,New Zañiga
1.848456034933732,1.3741798744511706,0.4580599581503879,3,PH137401019,New Zañiga
1.4867290868797272,0.0,0.7795531334094041,0,PH137401018,Namayan
1.5251033160774474,0.7781398219734376,0.7781398219734376,1,PH137401018,Namayan
1.5317473756650812,1.553041753627158,0.776520876813579,2,PH137401018,Namayan
1.533751032365283,2.329107369957429,0.7763691233191412,3,PH137401018,Namayan
1.5566730234929833,0.0,0.5186344847260489,0,PH137401022,Plainview
1.5704661717738653,0.5166858872843243,0.5166858872843243,1,PH137401022,Plainview
1.5895311512083161,1.0125448143162359,0.5062724071581179,2,PH137401022,Plainview
1.6143000546938893,1.4933598685296476,0.49778662284321507,3,PH137401022,Plainview
